Key,File,Type,english
humanEveBanditClub,entityclasses,Entity,Bandit
humanEveBanditKnife,entityclasses,Entity,Bandit
humanEveBanditSMG,entityclasses,Entity,Bandit
humanEveBanditAK47,entityclasses,Entity,Bandit
humanEveBanditHunter,entityclasses,Entity,Bandit
humanEveBanditPistol,entityclasses,Entity,Bandit
humanEveBanditXBow,entityclasses,Entity,Bandit
humanEveBanditBow,entityclasses,Entity,Bandit
humanEveBanditShotty,entityclasses,Entity,Bandit
humanEveBanditSleeperKnife,entityclasses,Entity,Bandit
humanEveBanditSleeperSMG,entityclasses,Entity,Bandit
humanFarmerBanditClub,entityclasses,Entity,Farmer
humanFarmerBanditKnife,entityclasses,Entity,Farmer
humanFarmerBanditSMG,entityclasses,Entity,Farmer
humanFarmerBanditAK47,entityclasses,Entity,Farmer
humanFarmerBanditHunter,entityclasses,Entity,Farmer
humanFarmerBanditPistol,entityclasses,Entity,Farmer
humanFarmerBanditXBow,entityclasses,Entity,Farmer
humanFarmerBanditBow,entityclasses,Entity,Farmer
humanFarmerBanditShotty,entityclasses,Farmer
humanFarmerBanditSleeperKnife,entityclasses,Entity,Farmer
humanFarmerBanditSleeperSMG,entityclasses,Farmer
humanFarmerSurvivorClub,entityclasses,Entity,Farmer Cole
humanFarmerSurvivorKnife,entityclasses,Entity,Farmer Cole
humanFarmerSurvivorSMG,entityclasses,Entity,Farmer Cole
humanFarmerSurvivorAK47,entityclasses,Entity,Farmer Cole
humanFarmerSurvivorHunter,entityclasses,Entity,Farmer Cole
humanFarmerSurvivorPistol,entityclasses,Entity,Farmer Cole
humanFarmerSurvivorXBow,entityclasses,Entity,Farmer Cole
humanFarmerSurvivorBow,entityclasses,Entity,Farmer Cole
humanFarmerSurvivorShotty,entityclasses,Farmer Cole
humanCowboyBanditClub,entityclasses,Entity,Cowboy
humanCowboyBanditKnife,entityclasses,Entity,Cowboy
humanCowboyBanditSMG,entityclasses,Entity,Cowboy
humanCowboyBanditAK47,entityclasses,Entity,Cowboy
humanCowboyBanditHunter,entityclasses,Entity,Cowboy
humanCowboyBanditPistol,entityclasses,Entity,Cowboy
humanCowboyBanditXBow,entityclasses,Entity,Cowboy
humanCowboyBanditBow,entityclasses,Entity,Cowboy
humanCowboyBanditShotty,entityclasses,Entity,Cowboy
humanCowboyBanditSleeperKnife,entityclasses,Entity,Cowboy
humanCowboyBanditSleeperSMG,entityclasses,Entity,Cowboy
